id_response,Date,agency,Q1.Poc,Q1a.Poc_title,Q1b.Poc_supervisor,Q1c.poc_responsibility_1,Q1c.poc_responsibility_2,Q1c.poc_responsibility_3,Q1c.poc_responsibility_4,Q1c.poc_responsibility_5,Q1c.poc_responsibility_6,Q1c.poc_responsibility_7,Q1c.poc_responsibility_8,Q1c.poc_responsibility_9,Q1c.poc_responsibility_10,Q1c.poc_responsibility_99,Q1c.poc_responsibility_88,Q2.ur_title,Q3.upload,Q4.ur_supervisor,Q5.ur_responsibility_1,Q5.ur_responsibility_2,Q5.ur_responsibility_3,Q5.ur_responsibility_4,Q5.ur_responsibility_5,Q5.ur_responsibility_6,Q5.ur_responsibility_7,Q5.ur_responsibility_8,Q5.ur_responsibility_9,Q5.ur_responsibility_10,Q5.ur_responsibility_99,Q5.ur_responsibility_88,Q6.years_current,Q6.months_current,Q7.years_vr,Q7.months_vr,Q8.years_any,Q8.months_any,Q9.educat,Q9.educat_other,Q10.crc,Q11.academic_1,Q11.academic_2,Q11.academic_3,Q11.academic_4,Q11.academic_5,Q11.academic_6,Q11.academic_7,Q11.academic_88,Q12.business_bg,Q12a.business_des_0,Q12a.business_des_1,Q12a.business_des_2,Q12a.business_des_3,Q12a.business_des_4,Q12a.business_des_5,Q12a.business_des_6,Q12a.business_des_7,Q12a.business_des_8,Q12a.business_des_9,Q12a.business_des_10,Q12a.business_des_11,Q12a.business_des_12,Q12a.business_des_13,Q12a.business_des_14,Q12a.business_des_15,Q12a.business_des_88,A1.br_text,A2.bus_as_customer,A3.serve_bus_1,A3.serve_bus_2,A3.serve_bus_3,A3.serve_bus_4,A3.serve_bus_5,A3.serve_bus_6,A3.serve_bus_7,A3.serve_bus_8,A3.serve_bus_9,A3.serve_bus_10,A3.serve_bus_11,A3.serve_bus_12,A3.serve_bus_99,A3.serve_bus_88,A4.activities_br_1,A4.activities_br_2,A4.activities_br_3,A4.activities_br_4,A4.activities_br_5,A4.activities_br_6,A4.activities_br_7,A4.activities_br_8,A4.activities_br_9,A4.activities_br_10,A4.activities_br_11,A4.activities_br_99,A4.activities_br_88,A5.areas_br_1,A5.areas_br_2,A5.areas_br_3,A5.areas_br_4,A5.areas_br_5,A5.areas_br_6,A5.areas_br_7,A5.areas_br_88,A6.initiatives_br,A6a.initiatives_br_des1,A6a.initiatives_br_des2,A6a.initiatives_br_des3,A6b.initiatives_br_add,A6b.initiatives_br_add_1,A6b.initiatives_br_add_2,A6b.initiatives_br_add_3,A6b.initiatives_br_add_4,A6b.initiatives_br_add_5,A6b.initiatives_br_add_6,A7.vevraa,A7a.vevraa_des,A8.partner,A8a.fed_agency_1,A8a.fed_agency_2,A8a.fed_agency_3,A8a.fed_agency_4,A8a.fed_agency_5,A8a.fed_agency_6,A8a.fed_agency_7,A8a.fed_agency_99,A8a.fed_agency_88,A8b.state_entity_1,A8b.state_entity_2,A8b.state_entity_3,A8b.state_entity_4,A8b.state_entity_5,A8b.state_entity_6,A8b.state_entity_7,A8b.state_entity_8,A8b.state_entity_9,A8b.state_entity_10,A8b.state_entity_11,A8b.state_entity_12,A8b.state_entity_99,A8b.state_entity_88,A8c.bus_org_1,A8c.bus_org_2,A8c.bus_org_3,A8c.bus_org_4,A8c.bus_org_5,A8c.bus_org_99,A8c.bus_org_88,B1.fte_time,B2.special_staff,B2a.fte_num,B3.add_staff_1,B3.add_staff_2,B3.add_staff_3,B3.add_staff_4,B3.add_staff_5,B3.add_staff_6,B3.add_staff_88,B4.external_res,B5.qualif_br_1,B5.qualif_br_2,B5.qualif_br_3,B5.qualif_br_4,B5.qualif_br_5,B5.qualif_br_88,B6.skill_br_1,B6.skill_br_2,B6.skill_br_3,B6.skill_br_4,B6.skill_br_5,B6.skill_br_6,B6.skill_br_88,B7.training_req,B8.component_br_1,B8.component_br_2,B8.component_br_3,B8.component_br_4,B8.component_br_5,B8.component_br_6,B8.component_br_7,B8.component_br_8,B8.component_br_88,C1.poc_web,C2.services_web,C3.links_web_1,C3.links_web_2,C3.links_web_3,C3.links_web_4,C3.links_web_5,C3.links_web_6,C3.links_web_88,C4.database,C5.outreach_1,C5.outreach_2,C5.outreach_3,C5.outreach_4,C5.outreach_5,C5.outreach_6,C5.outreach_7,C5.outreach_8,C5.outreach_9,C5.outreach_10,C5.outreach_88,C6.data_br,C6.data_br_text,C7.info_hired,C8.info_tool_1,C8.info_tool_2,C8.info_tool_3,C8.info_tool_4,C8.info_tool_5,C8.info_tool_99,C8.info_tool_6,C8.info_tool_88,C8a.frequency_br,C8a.frequency_br_other,D1.lmi,D1a.lmi_no,D2.sources_lmi_1,D2.sources_lmi_2,D2.sources_lmi_3,D2.sources_lmi_4,D2.sources_lmi_5,D2.sources_lmi_6,D2.sources_lmi_88,D3.elements_lmi_1,D3.elements_lmi_2,D3.elements_lmi_3,D3.elements_lmi_4,D3.elements_lmi_5,D3.elements_lmi_6,D3.elements_lmi_7,D3.elements_lmi_8,D3.elements_lmi_9,D3.elements_lmi_88,D4.trad_lmi_1,D4.trad_lmi_2,D4.trad_lmi_3,D4.trad_lmi_4,D4.trad_lmi_5,D4.trad_lmi_6,D4.trad_lmi_7,D4.trad_lmi_8,D4.trad_lmi_88,D5.real_lmi,D6.real_lmi_source,D7.rlmi_elements_1,D7.rlmi_elements_2,D7.rlmi_elements_3,D7.rlmi_elements_4,D7.rlmi_elements_5,D7.rlmi_elements_6,D7.rlmi_elements_7,D7.rlmi_elements_8,D7.rlmi_elements_88,D8.rlmi_use_1,D8.rlmi_use_2,D8.rlmi_use_3,D8.rlmi_use_4,D8.rlmi_use_5,D8.rlmi_use_6,D8.rlmi_use_7,D8.rlmi_use_8,D8.rlmi_use_88,E1.small_bus,E2.tailor_br,E3.small_outreach_1,E3.small_outreach_2,E3.small_outreach_3,E3.small_outreach_4,E3.small_outreach_5,E3.small_outreach_6,E3.small_outreach_7,E3.small_outreach_8,E3.small_outreach_9,E3.small_outreach_10,E3.small_outreach_88,E4.effectiv_outreach,E5.rank_1,E5.rank_2,E5.rank_3,E5.rank_4
68,9/15/14 0:00,Texas Division of Rehabilitative Services,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Specialist for Workforce Alliances & Project SEARCH,0,"Manager, Consumer Support Services",0,1,1,1,1,0,0,0,1,0,0,0,0.58,7,13.42,5,17.42,5,5,,1,0,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,"Business relations is to develop effective and productive relationships with targeted corporations and businesses through the delivery of a consistent and positive message about 1) working with DARS, 2) positioning DARS as the single portal for hiring qualified applicants with disabilities, 3) helping DARS units develop an effective response to _job ordersî, 4) facilitating the participation of community rehabilitation providers in new and innovative roles in partnership with DARS and businesses, and 5) improving the capacity of field units to build local business relationships.",1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,9,-9,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0.75,1,5,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,N/A,1,1,0,0,0,1,0,0,0,1,1,9,9,9,9,9,9,-9,1,1,0,1,1,1,1,1,1,1,0,0,0,-7,-9,0,1,0,1,1,0,0,0,3,0,1,-7,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,7,1,0,0,1,1,1,1,0,1,1,0,0,3,1,9,3,2
119,10/27/14 0:00,Idaho Commission for the Blind and Visually Impaired,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Rehabilitation Services Chief,1,Administrator,0,0,0,0,1,0,1,1,1,0,0,0,3,0,3,0,15.25,3,5,,1,0,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,"Working with businesses, and linking clients with businesses, and businesses with clients.",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,0,-7,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0.25,0,-7,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,N/A,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-7,N/A,0,0,1,1,1,0,0,0,4,0,1,-7,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,2,1,0,0,1,0,0,1,1,1,1,0,0,3,1,2,4,3
25,7/31/14 0:00,Vermont Division of Vocational Rehabilitation,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Employment Services Manager,1,Division Director,0,1,1,1,1,0,1,1,1,1,0,Legislative outreach and information sharing,-9,,6.17,2,6.17,2,2,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,"We have instituted a Consultative Sales approach to business development. Rather than approaching business when we have a need (a candidate to place) we have shifted our focus to developing relationships with businesses and offering an array of services, and identifying how we can meet the hiring needs based on what we learn as we nurture the relationship. We see our role as very similar to that of a staffing agency, providing recruitment and retention support, flexible tools for businesses to meet candidates through worksite training and work experiences.",1,1,1,1,1,1,1,0,1,0,0,1,1,0,Progressive Employmen options,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,-9,-9,-9,0,-7,-7,-7,-7,-7,-7,1,Currently planning an informational/hiring event for the fall of 2014.  Also marketing services to federal contractors at an upcoming manufacturers trade show.,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,"general Assistance Program, Office of Child Support, State Economic Development agency,",1,1,0,0,1,0,"Local workforce boards, Local economic development corporations, Rotary, Business Leaders United",1,1,3,0,1,0,0,0,0,0,1,1,1,1,1,1,Sales experience highly valued,1,0,1,1,1,1,"Understanding of WOTC, WIA (now WIOA)","We are currently developing a training curriculum for employment staff, both internal and external.",0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,Our Creative Workforce Solutions website,1,1,1,0,0,1,1,0,1,1,0,0,1,"satisfaction, feedback on trainees, company demographics (shifts, skills required, number of employees",Yes,1,1,1,1,0,0,0,0,3,0,1,-7,1,1,0,0,1,1,Direct outreach to the business community,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,"We have a cadre of Business Account Managers who are 100% outreach to the business community.  All efforts are tracked in Salesforce, including open positions, training opportunities and other relevant labor market info",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,2,1,1,1,0,0,1,1,0,1,1,0,0,1,9,9,9,9
34,8/29/14 0:00,Minnesota State Services for the Blind,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Rehabilitation Program Specialist,0,Director of Client Services,1,1,1,1,1,1,1,1,1,1,0,Translate business needs to counselors to make sure training is relevant to the current and predicted labor market needs,5.25,3,6.42,5,6.42,5,2,,0,0,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,"Business relations in our agency means to engage business in such a way that it increases the employment opportunities for customers of VR. This includes, but is not limited to: Employer training, agency presentations, connecting businesses to resources outside of VR, translating real time labor market information, and advising counselors and job seekers.",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,1,Initiative includes marketing directly to 503 affected business and providing training and tools.,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,Department of Employment and Economic Development,0,1,1,0,1,0,Business Networking International,0.25,0,-7,0,0,0,0,0,1,Two other business relations staff at .25 FTE each,1,1,1,1,1,0,0,1,1,1,1,1,0,0,N/A,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-7,It really doesn't,0,0,0,0,0,0,0,N/A,9,-9,1,-7,,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Direct contact with businesses,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,0,0,2,1,3,2,4
35,9/5/14 0:00,Florida Division of Blind Services,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Employment Program Consultant,0,Client Services Program Administrator,1,1,1,1,1,1,1,1,1,0,0,0,1.5,6,3.42,5,5.33,4,4,,0,0,0,0,0,0,1,1,Currently in last semester of MA ESE program,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,"I would define business relations as a mutually beneficial partnership between agency and business. The agency should be available to assist business with anything related to the employment of individuals with disabilities including, but not limited to, referal of qualified applicants, sensitivity trainings, ADA compliance questions, and accomodations. Business relations may change over time, but both the agency and the business should continue to build and maintain trusting relationships that will generate a seamless hiring and employment process for job seekers.",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,Employment Outcomes Professional II (EOP II) Program: A consultative approach to understanding and meeting employers' hiring needs.,Talent Acquisition Portal (TAP): www.tapability.org,Employment First Governor's Commission on Jobs: http://www.flgov.com/gcjfd/,0,-7,-7,-7,-7,-7,-7,1,Talent Acquisition Portal: helps match Federal Contractors and Subcontractors to qualified applicants with disabilities.,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,13,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,"1. Blindness Basics: training course offered by Hadley School for the Blind,  2. Employment Outcomes Professional II (EOP II) training,  3. Blindness Sensitivity Training",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,"business needs, job site analysis","Share success stories of past hires (word of mouth, social media, marketing videos), Report hiring data to State Dept. of Education and Federal RSA to be included in state and national employment data.",0,0,0,0,1,0,0,0,8,As needed (varies based on need of business and consumer),1,-7,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,2,1,1,1,1,1,1,1,1,1,1,0,0,1,2,3,4,1
36,8/29/14 0:00,Delaware Division for the Visually Impaired,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Employment Specialist II,0,District Administrator,1,1,0,0,1,1,0,0,0,0,0,0,7.17,2,7.17,2,7.17,2,5,,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,"I work with business, non-profits, and other local governmental agencies to establish relationships, assists with getting individuals with disabilities employed, employment assessments, and volunteer opportunities.",0,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,7,7,7,7,-7,7,7,7,7,0,7,7,-7,0,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,0,-7,0,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,-7,1,0,-7,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,N/A,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,-7,N/A,0,0,0,0,0,1,0,0,7,-7,1,-7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,4,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,4,2
38,8/29/14 0:00,Tennessee Division of Rehabilitation Services,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Program Manager,0,VR Director,1,1,1,1,1,1,1,1,1,0,0,0,1,,26,,-9,,4,,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,We provide technical assistance to businesses regarding the employment of persons with disabilities and placement services to them along with marketing services.,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,Federal 503 initiatives are ongoing with several companies,-9,-9,0,-7,-7,-7,-7,-7,-7,1,We are working with several companies for them to comply with Section 503.,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,-7,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,State quarterly meetings.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,-7,-9,0,0,1,1,0,0,0,0,9,-9,1,-7,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,2,1,1,1,1,0,1,1,1,1,1,0,0,3,3,4,2,1
40,8/29/14 0:00,Utah State Office of Rehabilitation,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,"Director, Governor's Committee on Employment of People with Disabilities & Business Relations",0,Executive Director,1,1,1,1,1,1,1,1,1,0,0,0,0.33,4,9.17,2,9.17,2,4,,9,0,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,"Department that works to coordinate the services and supports we provide to business.  This also involves sharing, training on and coordinating that information to the Vocational Rehabilitation Counselors.",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,PWDNET - People with Disabilities Network - PWDNET is a partnership linking businesses and job seekers; filling vacant positions with qualified work-ready individuals with disabilities.  Public agencies partner with the business sector to ensure a great fit that benefits both. PWDNET ensures that the bottom line of productivity is met through hiring and retaining a talented and qualified workforce of individuals with disabilities.,http://www.workabilityutah.org/hiring/support.php,"Bi-Annual Employer Workshop This workshop will provide information on employing people with disabilities and related employment issues and give you an opportunity to network with business professionals. There is no fee to attend, and lunch as well as a tour will be provided. Bi-Annual Work Ability Job Fair This is an excellent opportunity to market your business - whether you have openings or not - to persons with disabilities who are ready, willing and able to work. The job fair helps participants learn job search preparation skills and gives you a chance to provide feedback and descriptions of future positions. Lunch will be served to employers at no cost and booth reservation is free of charge. Workshops for job seekers as well as employers include topics such as online applications, applying with state and federal agencies, successful strategies for interviewing, dressing on a dime for interviews, and business partner panel. If you are interested in participating on the business panel, please let us know we will be more than willing to accommodate your booth while you are on the panel.",0,-7,-7,-7,-7,-7,-7,1,"The PWDNET Business Relations Team is here to provide consultation, support, resources and services to help you develop your Affirmative Action Plan - Recruit & hire qualified candidates  Retention of existing employees - Tranining and support  We ARE HERE FOR YOU!",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,2,1,1,0,0,0,1,Executve Secretary,1,1,1,1,1,0,0,1,1,1,1,1,0,0,I personally train each BR staff member.  No specific training.,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,please see partner websitehttp://www.workabilityutah.org/hiring/index.php,0,1,1,1,0,0,1,1,1,1,0,0,0,-7,Current system of tracking is inadequate for Business Relations.,1,1,1,1,1,0,0,0,1,0,1,-7,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,4,1,1,1,1,0,1,1,1,1,1,0,0,2,4,2,3,1
43,9/8/14 0:00,Delaware Division of Vocational Rehabilitation,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,District Administrator for Employment Services,0,DVR Director,1,1,1,1,1,1,1,1,1,0,0,0,7,,26.33,4,26.33,4,4,,0,0,0,0,0,0,1,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,-9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,-9,9,9,9,9,9,9,9,9,9,9,9,9,-9,9,9,9,9,9,9,9,-9,9,-9,-9,-9,9,-9,-9,-9,-9,-9,-9,0,-7,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,5,0,0,0,0,0,1,1 Contractor,1,1,1,1,1,0,0,1,0,1,0,1,0,0,-9,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,-7,-9,0,1,1,1,1,0,0,0,9,-9,1,-7,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,9,-9,9,9,9,9,9,9,9,9,-9,9,9,9,9,9,9,9,9,-9,4,9,1,1,0,1,1,0,0,0,1,0,0,1,3,4,2,1
45,9/2/14 0:00,South Carolina Commission for the Blind,1,-7,-7,7,7,7,7,7,7,7,7,7,7,7,-7,Director of Training & Employment,0,Commissioner,1,1,1,1,1,1,1,1,1,1,0,To direct a team of Assistive Technology Specialists to work with businesses on employee accessability issues.,11,,29.42,5,1,,4,,0,0,0,0,0,0,1,1,Education. I am a CPC (Certified Personnel Consultant) recognizied by the National Association of Personnel Consultants (Recruiter),1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,Private talent acquistion service (Head Hunter),We have a team of Employment Consultants marketing our services and developing relationships which progress to business partners where we place many consumers in a variety of positions.,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,0,-7,1,0,0,1,1,0,0,1,0,VA Hospital,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,1,1,"The ability to set appointments, cold call, get to the hiring authority and make presentations with follow up.",1,0,1,1,1,0,0,"Each has to complete the requirements in the ""Effective Employer Relationships"" manual.",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,We identify positions that our consumers can fill using specific assistive technoloby.,N/A,0,0,0,1,1,0,0,0,1,0,1,-7,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,-7,7,7,7,7,7,7,7,7,-7,7,7,7,7,7,7,7,7,-7,4,1,0,1,1,0,0,1,0,1,1,0,0,1,1,4,2,3
