ST,TYPE,ServiceCostTrans,ServiceCostNonTrans,TotalNonTrans,TotalTrans,TotalWhiteTrans,TotalBlackTrans,TotalAIANTrans,TotalAsianTrans,TotalNHPITrans,TotalHspanicTrans,trans_nontrans_costRatio,trans_nontrans_Ratio,trans_costPercent,trans_Percent,,,,
American Samoa,Combined,10450,106178,44,4,0,0,0,0,4,0,0.098419635,0.090909091,8.960112494,8.333333333,,,,
Mississippi,Combined,3713306,21353707,7183,2451,917,1523,25,8,3,24,0.173895146,0.341222331,14.81351607,25.44114594,,,,
South Dakota,Blind,252074,1352967,213,23,19,1,3,0,0,1,0.186312009,0.107981221,15.70514398,9.745762712,,,,
South Carolina,Blind,170238,780299,458,42,26,16,0,0,0,1,0.218170214,0.091703057,17.9096658,8.4,,,,
Arkansas,Blind,481178,2077589,467,67,41,24,2,0,0,3,0.231604037,0.143468951,18.80507291,12.54681648,,,,
Colorado,Combined,3181843,12949001,5265,2203,1990,178,76,33,7,516,0.245721118,0.418423552,19.72521091,29.49919657,,,,S
Oregon,General,3045055,11093228,5745,1540,1428,70,67,27,14,149,0.274496747,0.268059182,21.53765772,21.13932739,,,,
Texas,Blind,3995996,14473394,2798,422,324,89,4,11,0,144,0.276092532,0.150822016,21.63577682,13.10559006,,,,
Oregon,Blind,253661,777469,170,35,28,3,2,1,2,3,0.326265099,0.205882353,24.60029288,17.07317073,,,,
Nevada,Combined,1769944,5370680,2520,1013,755,234,33,30,15,241,0.329556779,0.401984127,24.7869654,28.67251628,,,,
Wyoming,Combined,1115749,3300292,1670,558,540,10,18,2,0,54,0.338075843,0.334131737,25.26582068,25.0448833,,,,
Maine,Blind,217422,640146,203,24,22,0,1,1,0,0,0.339644394,0.118226601,25.35332475,10.57268722,,,,
North Carolina,Blind,1292287,3774720,1011,100,66,30,7,0,0,5,0.342353075,0.098911968,25.50395135,9.00090009,,,,
Vermont,Blind,141287,403381,77,16,15,0,0,1,0,0,0.350256953,0.207792208,25.94002218,17.20430108,,,,
Alaska,Combined,1400755,3916207,1416,405,289,35,107,7,10,17,0.357681553,0.286016949,26.3450256,22.24052718,,,,
