ST,TYPE,year,clsrmnths_mean,eligmnths_mean,ipemnths_mean,clsrmnths_sd,eligmnths_sd,ipemnths_sd,clsrmnths_median,eligmnths_median,ipemnths_median,clsrmnths_min,eligmnths_min,ipemnths_min,clsrmnths_max,eligmnths_max,ipemnths_max
Alabama,Combined,2008,30.77230181,29.4883198,28.25313196,26.80202649,26.57602397,25.85553364,22.31666667,21,20.1,0.033333333,0,0,247.4,238.6666667,237.9333333
Alabama,Combined,2009,29.85048416,28.63206216,27.55629408,26.85282543,26.70122449,26.28566557,21.96666667,20.56666667,19.33333333,0.633333333,0.233333333,0.033333333,316.8333333,307.2666667,304.2
Alabama,Combined,2010,44.17362263,42.83222092,41.37765173,33.73977248,33.49555125,32.90500584,36.56666667,35.06666667,33.76666667,0.1,0.1,0.1,352.6666667,349.3666667,349.3666667
Alabama,Combined,2011,30.49655113,29.17646781,27.85836447,25.9393914,25.69320445,25.23190408,22.93333333,21.6,19.83333333,0.2,0.2,0.1,269.2666667,264.9333333,264.9333333
Alaska,Combined,2008,24.40334903,22.84992151,19.00172684,18.24054945,18.165741,17.09485393,18.66666667,16.93333333,13.8,3.133333333,2,0.633333333,116.3,114.5333333,111.0333333
Alaska,Combined,2009,24.8322314,23.15863833,19.36084219,20.5124488,20.44527194,19.39964553,18.96666667,17.03333333,13.2,1.5,1.333333333,0.433333333,174.2,174.2,158.8666667
Alaska,Combined,2010,24.40195627,22.71668585,18.79493671,19.85424887,19.84911283,19.26081498,18.43333333,16.9,12,2.366666667,0.5,0.5,141.2333333,139.4,137.3
Alaska,Combined,2011,23.54442156,21.78922073,17.59392379,19.1519717,19.0920958,18.1397517,18.36666667,16.66666667,11.93333333,2.666666667,2.266666667,1,161.6,160.2,152.8
American Samoa,Combined,2008,27.71212121,26.37121212,21.37727273,15.19168369,15.02037873,9.735292184,21.98333333,21.76666667,20.2,5.033333333,3.566666667,3.1,63.96666667,62.3,40.43333333
American Samoa,Combined,2009,27.58455285,26.25772358,24.96260163,14.18670758,14.05591419,13.73736226,27.86666667,26.76666667,24.76666667,4.333333333,3.366666667,3.366666667,63.36666667,61.73333333,59.73333333
American Samoa,Combined,2010,39.904,37.73466667,34.91466667,29.02755288,29.68142186,29.81403019,36.4,35.33333333,30.46666667,7.933333333,4.666666667,3.233333333,140.3,139.0333333,137.9333333
American Samoa,Combined,2011,25.61388889,23.67777778,22.28888889,18.84467638,18.83708611,18.65522078,23.03333333,20.61666667,19.4,7.066666667,6.066666667,4.866666667,81.33333333,78.5,77
Arizona,Combined,2008,31.37626292,30.21401646,27.02106774,26.05083547,25.86067592,25.33949662,22.56666667,21.23333333,17.61666667,2.1,1.133333333,0.633333333,182.4333333,180.4333333,171.4333333
Arizona,Combined,2009,28.84641248,27.69395725,24.74923166,27.13414218,26.88105938,26.4414604,19.8,18.83333333,15.6,1.466666667,1.166666667,1.033333333,278.2666667,272.5,272.5
Arizona,Combined,2010,30.80191285,29.61855122,25.90267119,21.68653783,21.5773743,20.93441463,24.06666667,22.76666667,18.53333333,7.4,4.433333333,0.733333333,234,233,233
Arizona,Combined,2011,37.45171841,36.24794941,31.60997828,21.68985515,21.5229977,21.73800168,31.7,30.43333333,27.13333333,7.733333333,5.433333333,0.933333333,242.7333333,220.7333333,220.7333333
Arkansas,Blind,2008,21.91666667,21.30071138,20.74054878,21.20343304,21.10616055,20.6187427,14.96666667,14.18333333,14.08333333,3.6,3.4,3.233333333,133.9,132.6,132.6
Arkansas,Blind,2009,23.44289733,22.78670886,21.83917018,20.65775166,20.56838777,19.36519406,14.98333333,14.45,13.96666667,1.133333333,0.933333333,0.5,130.4,130.1666667,129.6333333
Arkansas,Blind,2010,21.46147959,20.80178571,19.91921769,22.18430674,21.69296731,20.74923703,15.08333333,14.35,13.83333333,0.466666667,0.3,0.3,201.3666667,184.0666667,184.0666667
Arkansas,Blind,2011,24.17769841,23.55730159,22.79642857,25.78051901,25.60580707,24.51833793,16.03333333,15.28333333,15.13333333,2.566666667,2,1.766666667,165.5,164.8,164.8
Arkansas,General,2008,34.10980647,29.92341875,29.11738566,28.89139001,25.84294559,25.94874332,24.43333333,21.7,20.56666667,0.5,0.4,0,186.7333333,176.4666667,176.4666667
Arkansas,General,2009,29.60568173,28.26870549,27.32723184,25.31110554,24.94432235,24.90132442,21.66666667,20.26666667,19.13333333,0.433333333,0,0,186.3,179.1666667,179.1666667
Arkansas,General,2010,28.07684246,26.80444895,25.91789047,25.13624294,24.8500764,24.81291413,19.31666667,17.86666667,17,0.533333333,0.266666667,0,180.9666667,178.6333333,178.6333333
Arkansas,General,2011,27.8216635,26.59723924,25.82162828,24.10704357,23.79018962,23.69384794,19.96666667,18.63333333,18.16666667,0.233333333,0.233333333,0,235.3333333,225.0666667,225.0666667
California,Combined,2008,32.85005781,31.60784674,29.57120279,27.71276386,27.38643409,26.69850425,24.33333333,23.03333333,21,0.466666667,0.166666667,0.166666667,277.5666667,273.1666667,270.6666667
California,Combined,2009,28.6804094,27.51845195,25.74146978,25.37837924,25.06820089,24.45103421,20.26666667,19.03333333,17.4,0.4,0,0,283.6666667,281.2666667,281.2666667
California,Combined,2010,30.6623399,29.47473306,27.58453676,24.98739672,24.7621012,24.19147003,23.43333333,22.13333333,20.26666667,0.266666667,0.266666667,0.2,305.5333333,301.6,301.6
California,Combined,2011,31.88863183,30.67290302,28.77940817,26.15142317,25.95158693,25.40131338,24.36666667,23.1,21.16666667,0.2,0.2,0,267.2,264.7,264.7
Colorado,Combined,2008,26.85375949,25.27621847,22.3038942,27.65691999,27.24110993,26.45669703,16.95,15.33333333,12.38333333,3,1.1,0.733333333,245.2,242.3,242.3
Colorado,Combined,2009,28.80299134,27.25997264,24.16963976,26.01146979,25.55265764,25.03000095,20.76666667,19.4,16.2,3.266666667,3.033333333,0.233333333,239.4,237.8666667,234.6
Colorado,Combined,2010,35.48850147,33.94311173,29.38286068,27.7671629,27.48410147,27.87914213,26.9,25.76666667,22.86666667,3.033333333,1.3,0,254.3,250.7,250.7
Colorado,Combined,2011,32.58086672,30.90203053,26.17034614,27.7921756,27.48103601,27.24850659,26.11666667,24.55,15.5,2.7,0.8,0,248.1666667,221.1,219.0666667
Connecticut,Blind,2008,34.30569106,33.91165312,28.48943089,37.51041767,36.99865453,29.75333516,20.53333333,19.8,17.83333333,4.733333333,4.566666667,4.333333333,205.5,193.5,182.5
Connecticut,Blind,2009,37.07777778,36.69647696,33.35745257,38.87472586,38.66078762,36.75937889,20.96666667,20.8,19.33333333,5.4,5.2,4.766666667,306,303,302
Connecticut,Blind,2010,50.48108747,50.1108747,44.5822695,56.74845223,56.47689013,52.52028112,25.4,25.36666667,20.53333333,3.966666667,3.8,3.266666667,401.5,399.5,398.5
Connecticut,Blind,2011,48.44400871,47.96753813,41.74575163,47.31502575,47.16064386,41.62708311,31.8,31.53333333,25.3,4.833333333,4.8,4.766666667,270.1333333,267,195.4333333
Connecticut,General,2008,21.15985061,19.82969188,16.5070028,20.25351856,20.18151965,18.68543223,14.5,13.36666667,10.2,2.033333333,1.833333333,0,246.2,243.9666667,222.9666667
Connecticut,General,2009,22.36326894,21.02833265,17.49482121,19.4644977,19.47375974,18.06194311,16.26666667,15.06666667,11.73333333,2,0.233333333,0,176.8666667,174.4333333,172.4333333
Connecticut,General,2010,23.96485746,22.92677266,19.27370249,20.34909625,20.42598697,18.83339341,18.5,17.65,13.73333333,1.433333333,1.333333333,0.966666667,162.5666667,160.7666667,159.7666667
Connecticut,General,2011,23.37670445,22.14943322,18.26505668,19.02885114,19.17580331,17.48730843,17.5,16.33333333,12.06666667,1.833333333,1.166666667,0.6,163.8333333,163.3,148.3666667
Delaware,Blind,2008,61.5,59.44444444,49.90277778,54.9667005,54.96496,54.87092533,46.98333333,44.95,23.2,4.733333333,4.166666667,3.3,200.5333333,199.5,189.2666667
Delaware,Blind,2009,27.23518519,26.33611111,17.39351852,28.35594274,27.6740442,19.7758548,12.21666667,12.21666667,10.06666667,4,3.3,0.7,102.9666667,101,96.3
Delaware,Blind,2010,24.92295082,24.33606557,18.80874317,27.54962562,27.23144716,22.55697141,16.13333333,16.1,12.73333333,2.866666667,2.866666667,2.866666667,123.4333333,121.5666667,107.6333333
Delaware,Blind,2011,15.62205128,15.08205128,12.30974359,15.52565896,14.64966946,13.2171405,10.33333333,10.03333333,6.866666667,3.4,3.033333333,2.633333333,89,77.53333333,71.5
Delaware,General,2008,18.10549273,16.92875606,15.07361335,16.84993222,16.55779517,16.33782466,12.58333333,11.66666667,10.08333333,1.433333333,1.266666667,0.266666667,152.8,149.4666667,148.7666667
Delaware,General,2009,18.6868377,17.54748094,15.61238148,14.80055389,14.58727396,14.54068531,14.43333333,13.3,11.33333333,1.1,1.1,0.266666667,174.6333333,174.6,174.6
